session_id,worker_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,First language,Fluent languages,Nationality,Sex,Student Status
5f36df0635bbcb125c21677b,5ec2683e7bf5d7035f84ddf8,APPROVED,2020-08-14 18:59:21.669000,2020-08-14 19:17:49.018000,1107.349,75.0,76,0,100,2020-08-20 06:09:00.824000,4EDDAF87,United Kingdom,United Kingdom,Other,English,English,English,United Kingdom,Female,No
5f36cda3ebadcc0f71c033b4,5f0ccbd3de11c316e48ae99d,APPROVED,2020-08-14 17:45:07.236000,2020-08-14 17:54:02.861000,535.625,19.0,58,1,100,2020-08-20 06:08:18.808000,4EDDAF87,United Kingdom,United Kingdom,Other,English,English,English,United Kingdom,Female,Yes
5f36deed262f9f116a0f1326,5f3164c10c431b65ceee7808,APPROVED,2020-08-14 18:58:52.972000,2020-08-14 19:08:40.168000,587.196,20.0,29,1,99,2020-08-20 06:25:14.578000,4EDDAF87,Canada,Canada,Part-Time,,English,"English, French",Canada,Male,Yes
5f4dfb0260ef900c7cc317ca,5ac11c4d9534ba0001c71a89,APPROVED,2020-09-01 07:50:02.154000,2020-09-01 08:18:34.788000,1712.634,42.0,949,7,99,2020-09-05 07:54:49.229000,4EDDAF87,United Kingdom,United Kingdom,Full-Time,English,English,English,United Kingdom,Female,No
5f36af4b997c2809df20d4f9,5c2e469f44d84c000101bbd4,APPROVED,2020-08-14 15:35:43.257000,2020-08-14 15:42:34.515000,411.258,49.0,264,3,99,2020-08-20 06:07:08.306000,4EDDAF87,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,,English,United Kingdom,Male,No
5f4dfb04554b630c81ae86eb,5c5ee0dcfe6bce00013144dc,APPROVED,2020-09-01 07:41:07.312000,2020-09-01 07:56:08.604000,901.292,26.0,310,1,100,2020-09-05 07:54:55.174000,4EDDAF87,United Kingdom,United Kingdom,Full-Time,English,English,English,United Kingdom,Female,No
5f4dfafb0fc4403d9fbbc1a5,5c7ff97ff94c350001c19cd6,APPROVED,2020-09-01 07:40:46.697000,2020-09-01 07:52:33.057000,706.36,33.0,319,4,99,2020-09-05 07:54:41.370000,4EDDAF87,United Kingdom,United Kingdom,Full-Time,English,English,English,United Kingdom,Male,No
5f4dfb02a08b21ad84daf18c,5c93fa19104ec70017bfa894,APPROVED,2020-09-01 07:40:54.379000,2020-09-01 07:51:48.143000,653.764,26.0,366,5,99,2020-09-05 07:54:51.321000,4EDDAF87,United Kingdom,United Kingdom,Part-Time,English,,English,United Kingdom,Female,Yes
5f4dfb0307f6bf0b83388886,5cd6f48c48cd50001862b4c4,APPROVED,2020-09-01 07:41:07.545000,2020-09-01 07:48:43.916000,456.371,27.0,436,0,100,2020-09-05 07:54:53.288000,4EDDAF87,United Kingdom,United Kingdom,Full-Time,English,,English,United Kingdom,Female,No
5f36bdb8d79dc40c639af0c1,5d04bfe5ffd6f00001509d3f,APPROVED,2020-08-14 16:37:16.276000,2020-08-14 16:46:12.593000,536.317,32.0,156,1,100,2020-08-20 06:07:57.817000,4EDDAF87,United Kingdom,United Kingdom,Full-Time,English,,English,United Kingdom,Female,No
5f4dfaff8276eaaccf292152,5dfb6c4d19232d899d182cda,APPROVED,2020-09-01 07:42:53.982000,2020-09-01 08:04:07.807000,1273.825,49.0,208,0,100,2020-09-05 07:54:45.237000,4EDDAF87,United Kingdom,United Kingdom,Full-Time,English,English,English,United Kingdom,Female,No
5f36deed2e598b12546581b3,5ecc3c6aa5e08e438048895c,APPROVED,2020-08-14 18:58:53.682000,2020-08-14 19:07:10.306000,496.624,24.0,87,2,100,2020-08-20 06:08:24.425000,4EDDAF87,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,English,United Kingdom,Female,Yes
5f4dfb018d803608376ae8f1,5eceb8411480c30fb89c7c54,APPROVED,2020-09-01 07:40:52.102000,2020-09-01 07:54:09.319000,797.217,24.0,90,1,100,2020-09-05 07:54:47.358000,4EDDAF87,United Kingdom,United Kingdom,Other,English,English,English,United Kingdom,Female,No
5f36af731c48170a10609363,58823d5dc62fdb0001d9053c,APPROVED,2020-08-14 15:36:22.101000,2020-08-14 16:00:58.640000,1476.539,42.0,329,1,100,2020-08-20 06:07:10.226000,4EDDAF87,United Kingdom,United Kingdom,Part-Time,English,English,"English, French",United Kingdom,Female,No
5f36b089f63ea80b434bb291,5d5445e63808390015b8df52,APPROVED,2020-08-14 15:41:01.934000,2020-08-14 15:51:31.941000,630.007,20.0,117,0,100,2020-08-20 06:07:35.836000,4EDDAF87,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,English,United Kingdom,Male,Yes
